subject,frequency
gnd:4131028-7,34
gnd:1032223197,37
gnd:7600619-0,12
gnd:4389159-7,37
gnd:4135605-6,2
gnd:4596545-6,14
gnd:4182912-8,7
gnd:4303350-7,5
gnd:4171865-3,4
gnd:4014224-3,22
gnd:4342626-8,148
gnd:1216131074,10
gnd:4463623-4,14
gnd:4057621-8,38
gnd:4002498-2,37
gnd:4125909-9,175
gnd:7753486-4,2
gnd:4131632-0,17
gnd:4033447-8,407
gnd:1230901256,1
gnd:4057803-3,9
gnd:7732308-7,2
gnd:4116635-8,5
gnd:4052020-1,4
gnd:4511937-5,121
gnd:4129416-6,3
gnd:4168678-0,11
gnd:4412308-5,19
gnd:4324196-7,8
gnd:4004296-0,23
gnd:4246408-0,1
gnd:4600061-6,2
gnd:4311513-5,17
gnd:7544051-9,1
gnd:4310570-1,1
gnd:4141299-0,13
gnd:4558531-3,1
gnd:4284312-1,1
gnd:4354719-9,4
gnd:4117572-4,12
gnd:4170297-9,165
gnd:4138985-2,4
gnd:4059827-5,143
gnd:4298282-0,2
gnd:4122177-1,4
gnd:4117315-6,3
gnd:4285389-8,6
gnd:4064784-5,19
gnd:4064937-4,46
gnd:4038860-8,25
gnd:4183282-6,5
gnd:4266702-1,7
gnd:4155333-0,5
gnd:4164521-2,4
gnd:7586268-2,3
gnd:4476754-7,6
gnd:4065317-1,8
gnd:4533372-5,37
gnd:4195096-3,30
gnd:4224344-0,15
gnd:4187458-4,9
gnd:4075677-4,12
gnd:4291501-6,6
gnd:4148259-1,216
gnd:4803260-8,7
gnd:4187110-8,2
gnd:4168683-4,2
gnd:4375316-4,1
gnd:4401792-3,3
gnd:4532089-5,1
gnd:4123130-2,2
gnd:7582430-9,1
gnd:4148248-7,12
gnd:4113195-2,42
gnd:4282527-1,3
gnd:4152663-6,9
gnd:4169678-5,16
gnd:4155521-1,2
gnd:4284824-6,1
gnd:4149192-0,2
gnd:7563215-9,37
gnd:4123377-3,17
gnd:4226769-9,1
gnd:4036659-5,2
gnd:4481578-5,1
gnd:4200230-8,32
gnd:4020136-3,29
gnd:4259648-8,5
gnd:4342440-5,3
gnd:4775956-2,7
gnd:4243979-6,51
gnd:1135163685,3
gnd:4180520-3,1
gnd:4221594-8,1
gnd:4138579-2,6
gnd:4183669-8,1
gnd:4128256-5,21
gnd:7519610-4,1
gnd:4382334-8,3
gnd:4629834-4,2
gnd:4167928-3,8
gnd:4162299-6,5
gnd:4226965-9,3
gnd:4190007-8,4
gnd:4690080-9,67
gnd:4037944-9,390
gnd:4155423-1,2
gnd:4322729-6,7
gnd:1153741164,1
gnd:7700321-4,4
gnd:4295813-1,7
gnd:4029921-1,47
gnd:4135391-2,14
gnd:4151179-7,14
gnd:4205429-1,2
gnd:4179812-0,1
gnd:4165343-9,8
gnd:4189000-0,1
gnd:4064356-6,4
gnd:4164199-1,326
gnd:4259046-2,35
gnd:4060742-2,6
gnd:4057310-2,19
gnd:4060294-1,55
gnd:4005565-6,3
gnd:4072560-1,76
gnd:4058167-6,9
gnd:4005279-5,5
gnd:4047394-6,28
gnd:7712127-2,3
gnd:4123445-5,1
gnd:4001590-7,5
gnd:4274465-9,5
gnd:4194257-7,2
gnd:4221352-6,5
gnd:4007421-3,4
gnd:4191698-0,3
gnd:4732886-1,3
gnd:4165371-3,23
gnd:4016796-3,78
gnd:4042838-2,3
gnd:4006891-2,36
gnd:4503300-6,2
gnd:4038852-9,61
gnd:7617672-1,18
gnd:4004741-6,4
gnd:4844582-4,12
gnd:4121476-6,48
gnd:4027996-0,5
gnd:4007420-1,4
gnd:4601495-0,76
gnd:4022369-3,25
gnd:4225478-4,11
gnd:4835248-2,3
gnd:4205701-2,7
gnd:4277353-2,10
gnd:4231928-6,9
gnd:4172780-0,13
gnd:4762455-3,9
gnd:4170370-4,31
gnd:4236284-2,8
gnd:4162082-3,2
gnd:4170008-9,6
gnd:4162070-7,6
gnd:4183580-3,6
gnd:4290972-7,1
gnd:4356668-6,1
gnd:4020198-3,32
gnd:4122281-7,4
gnd:4015501-8,4
gnd:4426603-0,3
gnd:4166450-4,5
gnd:4196785-9,2
gnd:4213747-0,3
gnd:4140085-9,16
gnd:4190892-2,1
gnd:4067842-8,1
gnd:4132279-4,4
gnd:4156566-6,8
gnd:4057625-5,23
gnd:4068598-6,191
gnd:4182018-6,3
gnd:4180674-8,8
gnd:4160492-1,10
gnd:4046629-2,3
gnd:4288494-9,8
gnd:4121944-2,3
gnd:4193873-2,22
gnd:4333369-2,100
gnd:1189760266,2
gnd:4172264-4,4
gnd:4131574-1,8
gnd:4307964-7,6
gnd:4126186-0,13
gnd:4046699-1,94
gnd:4160446-5,9
gnd:4184138-4,3
gnd:4190954-9,1
gnd:4433743-7,1
gnd:4029919-3,47
gnd:4160908-6,2
gnd:7664612-9,9
gnd:4232790-8,10
gnd:4143852-8,1
gnd:4178992-1,1
gnd:4158586-0,1
gnd:4611954-1,30
gnd:4145644-0,11
gnd:4039226-0,36
gnd:4157339-0,1
gnd:4169808-3,8
gnd:4112524-1,1
gnd:4065287-7,2
gnd:4124348-1,7
gnd:4601328-3,2
gnd:4157211-7,2
gnd:4216129-0,5
gnd:4330179-4,2
gnd:4326605-8,4
gnd:1037387953,4
gnd:4220922-5,18
gnd:1311410058,1
gnd:4186535-2,1
gnd:4011134-9,136
gnd:4188222-2,11
gnd:7714938-5,51
gnd:4038301-5,25
gnd:4163880-3,1
gnd:4541814-7,3
gnd:4160950-5,6
gnd:4151629-1,6
gnd:4018406-7,90
gnd:4000107-6,9
gnd:4062656-8,20
gnd:4147460-0,3
gnd:4178736-5,2
gnd:4425928-1,16
gnd:4660192-2,1
gnd:4006877-8,31
gnd:4047925-0,10
gnd:4170482-4,1
gnd:4224277-0,5
gnd:4164859-6,4
gnd:4440893-6,6
gnd:4142423-2,6
gnd:4267440-2,2
gnd:4181740-0,55
gnd:4173836-6,3
gnd:4117281-4,18
gnd:4132613-1,1
gnd:4030913-7,5
gnd:4147735-2,1
gnd:4299539-5,6
gnd:4149589-5,2
gnd:4076388-2,38
gnd:4168628-7,4
gnd:4011152-0,100
gnd:4140250-9,9
gnd:4173908-5,23
gnd:4113402-3,1
gnd:4121590-4,79
gnd:4056723-0,276
gnd:4044789-3,22
gnd:4458086-1,1
gnd:4025289-9,14
gnd:4497183-7,2
gnd:4290958-2,11
gnd:4006761-0,3
gnd:4022492-2,16
gnd:4036210-3,47
gnd:4315368-9,6
gnd:4164566-2,7
gnd:7548899-1,19
gnd:4800345-1,7
gnd:4020285-9,14
gnd:4168718-8,1
gnd:4147301-2,5
gnd:4206678-5,1
gnd:7861550-1,38
gnd:4060592-9,22
gnd:4376916-0,3
gnd:7718401-4,8
gnd:4041456-5,16
gnd:4000589-6,26
gnd:4058076-3,14
gnd:4004687-4,20
gnd:4135837-5,2
gnd:4043216-6,36
gnd:4002827-6,15
gnd:4150921-3,6
gnd:4142400-1,3
gnd:4001977-9,1
gnd:4169490-9,2
gnd:4335470-1,1
gnd:4176773-1,2
gnd:4225847-9,4
gnd:1024815579,6
gnd:4177102-3,4
gnd:4183528-1,2
gnd:1132589657,1
gnd:4308702-4,3
gnd:4570699-2,1
gnd:4126830-1,50
gnd:7547278-8,31
gnd:4151826-3,3
gnd:4064211-2,41
gnd:4409519-3,1
gnd:4482590-0,14
gnd:4389058-1,82
gnd:4330656-1,29
gnd:4244904-2,9
gnd:4033329-2,156
gnd:4618883-6,9
gnd:4182338-2,4
gnd:4158119-2,27
gnd:4444713-9,1
gnd:4123274-4,2
gnd:4150403-3,2
gnd:4259390-6,1
gnd:4016887-6,6
gnd:4029788-3,15
gnd:4758178-5,1
gnd:4120666-6,25
gnd:4027089-0,214
gnd:4246990-9,4
gnd:4240945-7,55
gnd:4619282-7,1
gnd:4290704-4,3
gnd:4174555-3,1
gnd:4185376-3,1
gnd:4163478-0,2
gnd:4148346-7,3
gnd:4162307-1,1
gnd:108053685X,3
gnd:4034620-1,14
gnd:4403173-7,1
gnd:4670320-2,1
gnd:4154995-8,1
gnd:7713781-4,134
gnd:1027189210,2
gnd:4062670-2,76
gnd:4184140-2,27
gnd:4041980-0,8
gnd:4178324-4,8
gnd:4132140-6,34
gnd:4130672-7,11
gnd:4042133-8,4
gnd:4142666-6,2
gnd:4202316-6,1
gnd:4138228-6,5
gnd:4186893-6,2
gnd:4243974-7,2
gnd:4174972-8,3
gnd:4359957-6,1
gnd:4129534-1,13
gnd:4150454-9,15
gnd:4165165-0,2
gnd:4171660-7,13
gnd:4152355-6,3
gnd:4020836-9,1
gnd:4667841-4,5
gnd:4731145-9,1
gnd:7571456-5,1
gnd:4112646-4,112
gnd:4334071-4,1
gnd:4147328-0,1
gnd:4152470-6,9
gnd:1054667616,5
gnd:4160891-4,6
gnd:4129794-5,8
gnd:7745707-9,3
gnd:4160800-8,2
gnd:4045791-6,134
gnd:4047992-4,63
gnd:4129506-7,2
gnd:4070730-1,2
gnd:4073436-5,36
gnd:4159400-9,1
gnd:4079058-7,10
gnd:4259288-4,9
gnd:4053963-5,8
gnd:4167921-0,1
gnd:4074450-4,22
gnd:4172688-1,1
gnd:4131116-4,1
gnd:4129061-6,18
gnd:4128130-5,162
gnd:4012469-1,4
gnd:4137352-2,14
gnd:4014873-7,1
gnd:4053964-7,20
gnd:4145884-9,2
gnd:4151671-0,3
gnd:4058956-0,4
gnd:4627140-5,6
gnd:4728093-1,25
gnd:4538596-8,1
gnd:4060847-5,33
gnd:4014162-7,18
gnd:1132592771,2
gnd:4180849-6,3
gnd:4185549-8,21
gnd:4115673-0,5
gnd:4142662-9,2
gnd:4127615-2,3
gnd:4116326-6,5
gnd:4013994-3,2
gnd:4333511-1,2
gnd:4453039-0,5
gnd:4113593-3,4
gnd:4173111-6,2
gnd:4123823-0,9
gnd:4334136-6,1
gnd:4237203-3,17
gnd:4134801-1,4
gnd:4185135-3,6
gnd:4178921-0,3
gnd:4140518-3,4
gnd:4132814-0,11
gnd:4127841-0,2
gnd:4009016-4,7
gnd:4134262-8,25
gnd:7660487-1,5
gnd:4144863-7,24
gnd:4745842-2,2
gnd:4037172-4,7
gnd:4166378-0,5
gnd:4171332-1,15
gnd:4113826-0,16
gnd:4518352-1,1
gnd:4161400-8,11
gnd:4518350-8,1
gnd:4132894-2,8
gnd:4039237-5,5
gnd:4170235-9,1
gnd:4297306-5,3
gnd:4150139-1,5
gnd:4004402-6,28
gnd:4139098-2,12
gnd:4115398-4,1
gnd:4238208-7,3
gnd:4027461-5,2
gnd:4137663-8,4
gnd:4057365-5,9
gnd:4114619-0,2
gnd:4725395-2,2
gnd:4253347-8,4
gnd:4198763-9,17
gnd:4042236-7,2
gnd:4176770-6,7
gnd:4204530-7,102
gnd:4431018-3,2
gnd:4132813-9,13
gnd:4161414-8,2
gnd:4066446-6,30
gnd:4293657-3,13
gnd:7755732-3,8
gnd:4069491-4,117
gnd:4046514-7,112
gnd:4114020-5,10
gnd:4167790-0,9
gnd:4041649-5,4
gnd:4199240-4,4
gnd:4264210-3,2
gnd:4140191-8,2
gnd:4170304-2,3
gnd:4288676-4,1
gnd:4128988-2,6
gnd:4124771-1,1
gnd:4331611-6,3
gnd:4346728-3,7
gnd:4139716-2,87
gnd:4066528-8,116
gnd:4316153-4,3
gnd:4236432-2,1
gnd:4162051-3,12
gnd:4420437-1,1
gnd:4120730-0,66
gnd:4017598-4,13
gnd:4033203-2,113
gnd:4049363-5,51
gnd:4033229-9,44
gnd:4353072-2,72
gnd:4072806-7,79
gnd:4389626-1,1
gnd:4379341-1,9
gnd:4048204-2,2
gnd:4297495-1,1
gnd:4202460-2,17
gnd:4181821-0,8
gnd:4181828-3,3
gnd:4413116-1,3
gnd:4164538-8,19
gnd:4046811-2,34
gnd:4014247-4,12
gnd:4006884-5,10
gnd:4250307-3,3
gnd:4035873-2,16
gnd:4014241-3,19
gnd:4306395-0,1
gnd:4395032-2,1
gnd:4030665-3,17
gnd:4042096-6,39
gnd:4077445-4,60
gnd:4168713-9,1
gnd:4204069-3,1
gnd:4245523-6,2
gnd:4069853-1,4
gnd:4032518-0,21
gnd:4031170-3,50
gnd:4130938-8,4
gnd:4051803-6,9
gnd:4192165-3,3
gnd:4123952-0,3
gnd:4046249-3,33
gnd:4522874-7,1
gnd:4498170-3,2
gnd:4265303-4,2
gnd:4142063-9,12
gnd:4463863-2,3
gnd:4128328-4,22
gnd:4845858-2,2
gnd:4323240-1,3
gnd:4219283-3,1
gnd:4137334-0,7
gnd:4034354-6,42
gnd:4133841-8,17
gnd:4048978-4,2
gnd:4407742-7,4
gnd:4778903-7,7
gnd:4045981-0,10
gnd:4036660-1,2
gnd:4113240-3,13
gnd:4036651-0,4
gnd:4370378-1,2
gnd:4183262-0,1
gnd:4309007-2,5
gnd:4621571-2,1
gnd:4158672-4,2
gnd:4129002-1,16
gnd:4707308-1,25
gnd:4190864-8,11
gnd:4034610-9,63
gnd:4147108-8,1
gnd:4158814-9,11
gnd:4132479-1,6
gnd:4191117-9,1
gnd:4004940-1,1
gnd:4007974-0,31
gnd:4244877-3,1
gnd:4160294-8,5
gnd:4245082-2,1
gnd:4185936-4,8
gnd:1031886966,4
gnd:4643033-7,6
gnd:4167589-7,13
gnd:4189274-4,3
gnd:4189218-5,7
gnd:4191827-7,5
gnd:4173112-8,4
gnd:4286529-3,6
gnd:4019489-9,2
gnd:4139715-0,4
gnd:4301805-1,3
gnd:4200112-2,1
gnd:4134834-5,17
gnd:4005581-4,10
gnd:4138367-9,3
gnd:4332360-1,3
gnd:4727742-7,1
gnd:4339932-0,2
gnd:4130056-7,3
gnd:4130803-7,16
gnd:4128024-6,3
gnd:4277650-8,3
gnd:4252842-2,3
gnd:4183144-5,3
gnd:4145600-2,16
gnd:4720045-5,1
gnd:4164603-4,2
gnd:4169612-8,9
gnd:4130344-1,1
gnd:4029803-6,5
gnd:4287503-1,12
gnd:4014305-3,40
gnd:4020241-0,9
gnd:4168563-5,1
gnd:4006617-4,73
gnd:4143336-1,1
gnd:4384434-0,1
gnd:4275319-3,2
gnd:4224276-9,3
gnd:4202326-9,6
gnd:7752120-1,5
gnd:4158819-8,2
gnd:4338132-7,36
gnd:4025643-1,14
gnd:4053793-6,35
gnd:4174149-3,10
gnd:4184235-2,14
gnd:4174161-4,5
gnd:4150634-0,16
gnd:4072532-7,4
gnd:4078351-0,6
gnd:4152563-2,2
gnd:7664301-3,2
gnd:4470171-8,3
gnd:4475602-1,3
gnd:4372085-7,7
gnd:4013898-7,7
gnd:4326464-5,568
gnd:4145625-7,16
gnd:4152184-5,1
gnd:4554290-9,1
gnd:4180330-9,2
gnd:4057633-4,44
gnd:4611491-9,1
gnd:4338137-6,2
gnd:4587112-7,16
gnd:4123751-1,3
gnd:4215969-6,1
gnd:4356724-1,1
gnd:4056754-0,437
gnd:4171545-7,3
gnd:4159726-6,11
gnd:4280442-5,2
gnd:4010034-0,4
gnd:4147291-3,3
gnd:4038575-9,8
gnd:4031648-8,34
gnd:4173828-7,9
gnd:4032081-9,18
gnd:4049040-3,79
gnd:4002257-2,16
gnd:4148204-9,1
gnd:4157989-6,1
gnd:4136029-1,4
gnd:4183668-6,3
gnd:4032288-9,3
gnd:4046317-5,9
gnd:4142361-6,1
gnd:4014777-0,60
gnd:4035843-4,34
gnd:4239975-0,9
gnd:4072803-1,77
gnd:4165338-5,10
gnd:4264342-9,1
gnd:4233554-1,9
gnd:4114528-8,224
gnd:4174506-1,7
gnd:4487882-5,1
gnd:4401598-7,1
gnd:4049534-6,17
gnd:4135354-7,1
gnd:4333533-0,11
gnd:1192487214,1
gnd:4210699-0,6
gnd:4310355-8,14
gnd:4047408-2,10
gnd:4289274-0,3
gnd:4026779-9,25
gnd:4346401-4,12
gnd:4042907-6,24
gnd:4198736-6,5
gnd:4136131-3,6
gnd:4532519-4,1
gnd:4183741-1,3
gnd:4124013-3,8
gnd:4713658-3,1
gnd:4175566-2,18
gnd:4263396-5,28
gnd:4019155-2,15
gnd:4324566-3,3
gnd:4039792-0,13
gnd:4807318-0,4
gnd:4343358-3,1
gnd:4077745-5,1
gnd:4352109-5,4
gnd:4245097-4,3
gnd:4566082-7,1
gnd:4159584-1,4
gnd:4626532-6,6
gnd:4186734-8,2
gnd:4139147-0,3
gnd:4126634-1,17
gnd:4277661-2,6
gnd:4056494-0,3
gnd:4116579-2,46
gnd:4003961-4,25
gnd:4058651-0,25
gnd:4210733-7,15
gnd:4264345-4,1
gnd:4063491-7,17
gnd:4303440-8,1
gnd:4171730-2,13
gnd:4581365-6,16
gnd:4052397-4,18
gnd:4138452-0,7
gnd:1072161370,2
gnd:4360012-8,12
gnd:4275322-3,1
gnd:4146424-2,2
gnd:4297710-1,26
gnd:4842731-7,8
gnd:4047979-1,26
gnd:4045959-7,31
gnd:4185098-1,7
gnd:4039979-5,12
gnd:4003423-9,26
gnd:4078176-8,46
gnd:4205135-6,2
gnd:4059217-0,2
gnd:4128987-0,7
gnd:4078131-8,5
gnd:4007210-1,3
gnd:4116522-6,219
gnd:4039798-1,40
gnd:4120814-6,38
gnd:4660420-0,15
gnd:4115348-0,66
gnd:4073624-6,22
gnd:4061644-7,158
gnd:4431979-4,24
gnd:4187255-1,2
gnd:4150347-8,1
gnd:4122166-7,15
gnd:4315827-4,3
gnd:4314848-7,1
gnd:4126481-2,9
gnd:4176198-4,8
gnd:4330145-9,5
gnd:4708913-1,2
gnd:4002073-3,6
gnd:4136115-5,2
gnd:4195782-9,10
gnd:4315323-9,1
gnd:4128339-9,14
gnd:4113458-8,7
gnd:4114251-2,4
gnd:4842734-2,18
gnd:4254074-4,5
gnd:4162777-5,8
gnd:4006882-1,47
gnd:1042006857,33
gnd:4042626-9,6
gnd:4120591-1,40
gnd:4014743-5,39
gnd:4253944-4,11
gnd:4187713-5,30
gnd:4014725-3,44
gnd:4056914-7,14
gnd:4586449-4,10
gnd:4035816-1,11
gnd:4070106-2,4
gnd:4113292-0,70
gnd:4077722-4,7
gnd:4075220-3,8
gnd:4160916-5,3
gnd:4076573-8,87
gnd:4133597-1,1
gnd:4159984-6,1
gnd:4068903-7,2
gnd:4252060-5,1
gnd:4276382-4,3
gnd:4067547-6,15
gnd:4041643-4,3
gnd:113919884X,1
gnd:1206288906,4
gnd:4311688-7,1
gnd:4281440-6,1
gnd:4260617-2,1
gnd:4161797-6,1
gnd:4136925-7,40
gnd:4226770-5,6
gnd:4375592-6,15
gnd:4174515-2,1
gnd:4021338-9,2
gnd:4277596-6,3
gnd:4221958-9,2
gnd:4136408-9,7
gnd:4124917-3,10
gnd:4709127-7,5
gnd:4123980-5,38
gnd:4338601-5,1
gnd:4145879-5,3
gnd:4171618-8,1
gnd:4124298-1,9
gnd:4171620-6,7
gnd:4185432-9,3
gnd:4171614-0,17
gnd:4014002-7,18
gnd:4173433-6,2
gnd:4381412-8,2
gnd:4038824-4,39
gnd:4307166-1,30
gnd:4139374-0,20
gnd:4278240-5,4
gnd:4438735-0,26
gnd:4164552-2,15
gnd:4646061-5,35
gnd:4525883-1,2
gnd:4185853-0,1
gnd:4177387-1,5
gnd:4185854-2,1
gnd:4056366-2,15
gnd:4127947-5,1
gnd:4060595-4,4
gnd:7524451-2,1
gnd:4131837-7,9
gnd:4174379-9,3
gnd:4544227-7,10
gnd:4270225-2,6
gnd:4116599-8,24
gnd:4073439-0,2
gnd:4036050-7,3
gnd:4133550-8,4
gnd:4125698-0,131
gnd:4192157-4,4
gnd:4129954-1,2
gnd:4021671-8,2
gnd:4114204-4,3
gnd:4128644-3,7
gnd:4141062-2,7
gnd:1047906449,2
gnd:4185924-8,5
gnd:4242465-3,4
gnd:4173778-7,1
gnd:4155750-5,10
gnd:4169640-2,1
gnd:4158067-9,7
gnd:4147327-9,2
gnd:7681721-0,15
gnd:4215315-3,2
gnd:4845419-9,1
gnd:4125978-6,15
gnd:4171844-6,2
gnd:4027597-8,2
gnd:4020310-4,13
gnd:4802620-7,200
gnd:7854804-4,60
gnd:4197554-6,29
gnd:4793947-3,7
gnd:7548364-6,77
gnd:4000313-9,70
gnd:4016876-1,3
gnd:4180519-7,1
gnd:4162143-8,2
gnd:4029804-8,7
gnd:4160918-9,4
gnd:4047984-5,69
gnd:4158295-0,1
gnd:4184200-5,6
gnd:4271581-7,4
gnd:4159102-1,3
gnd:4312536-0,18
gnd:4042777-8,1
gnd:4128082-9,24
gnd:4602703-8,1
gnd:4144076-6,2
gnd:4062355-5,38
gnd:4609891-4,1
gnd:4116451-9,3
gnd:4398783-7,41
gnd:4306459-0,1
gnd:4260998-7,4
gnd:7660423-8,2
gnd:4346009-4,1
gnd:4224891-7,5
gnd:4369112-2,2
gnd:4325621-1,1
gnd:4193016-2,32
gnd:4327348-8,1
gnd:4181865-9,2
gnd:4280367-6,1
gnd:4047828-2,4
gnd:4189501-0,4
gnd:4349192-3,3
gnd:1112294007,16
gnd:4226174-0,37
gnd:4185143-2,1
gnd:4001586-5,11
gnd:4017233-8,152
gnd:4189667-1,2
gnd:4180414-4,1
gnd:4152977-7,2
gnd:4145916-7,2
gnd:4153014-7,2
gnd:4333084-8,1
gnd:4136262-7,5
gnd:4198905-3,1
gnd:4391002-6,1
gnd:4151026-4,1
gnd:4058555-4,1
gnd:4140733-7,2
gnd:4472286-2,6
gnd:4130271-0,14
gnd:4128765-4,4
gnd:4201190-5,67
gnd:4328181-3,10
gnd:4130688-0,13
gnd:4048849-4,5
gnd:4145576-9,5
gnd:4014715-0,84
gnd:4169052-7,3
gnd:4186733-6,8
gnd:4315054-8,2
gnd:4184433-6,1
gnd:4057825-2,9
gnd:4077447-8,11
gnd:4220937-7,2
gnd:4321052-1,1
gnd:4007367-1,10
gnd:4152437-8,3
gnd:4120509-1,287
gnd:4014957-2,17
gnd:7574326-7,7
gnd:4132099-2,12
gnd:4174856-6,5
gnd:4159122-7,4
gnd:4173115-3,4
gnd:4191566-5,4
gnd:4033494-6,1
gnd:4015173-6,4
gnd:4157158-7,1
gnd:4063153-9,13
gnd:4047360-0,8
gnd:4195353-8,2
gnd:4200074-9,6
gnd:4032296-8,37
gnd:1148581081,1
gnd:4115335-2,1
gnd:4033215-9,28
gnd:4076241-5,3
gnd:4130693-4,5
gnd:4144198-9,10
gnd:4443965-9,1
gnd:4156127-2,62
gnd:4410380-3,6
gnd:4063234-9,66
gnd:4056769-2,49
gnd:4277527-9,3
gnd:4198372-5,1
gnd:4307122-3,2
gnd:4221742-8,5
gnd:4140410-5,5
gnd:4047390-9,61
gnd:4214157-6,3
gnd:4181167-7,12
gnd:4037197-9,2
gnd:4168696-2,1
gnd:4009857-6,5
gnd:4307048-6,3
gnd:4006684-8,160
gnd:4123037-1,239
gnd:4037882-2,30
gnd:4233588-7,1
gnd:4047521-9,4
gnd:4254831-7,2
gnd:4190479-5,1
gnd:4128412-4,6
gnd:4186793-2,5
gnd:4296628-0,1
gnd:4133764-5,11
gnd:4070044-6,27
gnd:4133922-8,23
gnd:4131397-5,26
gnd:4113491-6,21
gnd:4012211-6,23
gnd:4143686-6,2
gnd:4012974-3,5
gnd:4316104-2,27
gnd:4142388-4,2
gnd:4152480-9,16
gnd:4195374-5,2
gnd:4416206-6,7
gnd:4318717-1,19
gnd:4175996-5,5
gnd:4496344-0,2
gnd:4123417-0,1
gnd:4072712-9,13
gnd:7684405-5,10
gnd:4265444-0,8
gnd:4062781-0,52
gnd:4306783-9,5
gnd:4057699-1,17
gnd:4155894-7,1
gnd:4391076-2,2
gnd:4148964-0,1
gnd:4234092-5,1
gnd:4184419-1,3
gnd:4480327-8,1
gnd:4168593-3,1
gnd:4221121-9,3
gnd:4180622-0,3
gnd:4140904-8,2
gnd:4140407-5,7
gnd:4063589-2,9
gnd:4125508-2,4
gnd:4061643-5,22
gnd:4078523-3,99
gnd:4141041-5,10
gnd:4062955-7,30
gnd:4129315-0,9
gnd:4039785-3,50
gnd:4074381-0,26
gnd:4273127-6,3
gnd:4115557-9,4
gnd:4178140-5,2
gnd:4797536-2,4
gnd:4186384-7,1
gnd:4168682-2,2
gnd:4278812-2,1
gnd:113303408X,10
gnd:4507896-8,1
gnd:4273025-9,1
gnd:4322052-6,1
gnd:1167883853,3
gnd:4182307-2,5
gnd:4274371-0,2
gnd:4023028-4,3
gnd:4254966-8,2
gnd:4334629-7,7
gnd:4121721-4,5
gnd:4026066-5,3
gnd:4076052-2,4
gnd:4113361-4,9
gnd:4283667-0,1
gnd:4322820-3,1
gnd:4149767-3,6
gnd:4316122-4,2
gnd:4424475-7,2
gnd:4515182-9,1
gnd:4183788-5,16
gnd:4048655-2,14
gnd:4151888-3,9
gnd:4170305-4,2
gnd:1098550242,3
gnd:4224496-1,19
gnd:4048395-2,48
gnd:4047640-6,17
gnd:4387876-3,2
gnd:4189283-5,4
gnd:4148816-7,43
gnd:4596131-1,9
gnd:4044430-2,3
gnd:4070512-2,15
gnd:4015799-4,4
gnd:4114032-1,17
gnd:4263231-6,6
gnd:4144157-6,3
gnd:4136239-1,1
gnd:4029131-5,1
gnd:4045125-2,5
gnd:4006902-3,19
gnd:4176170-4,3
gnd:4115512-9,6
gnd:4153455-4,2
gnd:4392684-8,2
gnd:4346023-9,2
gnd:4182098-8,2
